;;;;;;;;;DEPOT NOM : >;Les marionnettes ont une ames;Le diable est mort
;;;;;;;;;DEPOT SURNOM : >;ames;diable
;;;;;;;;;DEPOT TYPE : >;Flyer;Brochure
;;;;;;;;;DEPOT QUANTITEE : >;2660;1840
;;;;;;;;;DEPOT VOLUME : >;99.0;999.0
;;;;;;;;;DEPOT CARTONS : >;2;5
;;;;;;;;;DEPOT REMARQUE : >;ha oui;ha non 
;;;;;;;;;DEPOT POID CARTONS : >;12;11
;;;;;;;;;DEPOT NB PAQUET : >;10;32
;;;;;;;;;DEPOT PRIX : >;0.5;0.9
;INFO KAF : |;REF : |;NOM  : |;ADRESSE : |;CP : |;VILLE : |;INFORMATION LIEU : |;DESTINATAIRE : |;LIEU PRIX : |;;
;;;ASSOCIATION 59 RUE DE RIVOLI;59 rue de Rivoli  ;75001;Paris;;;;15;10
;;;ECOLE DESSIN TECH /ARTISTIQUE SORNAS;108 Rue St Honoré;75001;Paris;;;;15;10
;;;ECOLE DU LOUVRE;Palais du Louvre Porte Jaujard;75001;Paris;;;;15;10
;;;ESAD ;Forum des Halles;75001;Paris;;;;15;10
;;;FORUM DES IMAGES;Porte Saint Eustache Place Carrée Forum des Halles;75001;Paris;;;;15;10
;;;IESA;5, avenue de l’Opéra;75001;Paris;;;;15;10
;;;MAISON DU GESTE ET DE L'IMAGE;42 Rue Saint Denis;75001;Paris;;;;15;10
;;;OFFICE DE TOURISME DE PARIS;25 Rue des Pyramides;75001;Paris;;;;15;10
;;;ARIAS;Galerie Colbert;75002;Paris;;;;15;10
;;;LIBRAIRE THEATRALE;3 rue Marivaux;75002;Paris;;;;15;10
;;;SOCIÉTÉ D’HISTOIRE DU THÉÂTRE;BNF - 58 rue de Richelieu;75002;Paris;;;;10;10
;;;AGECIF;22 rue de Picardie;75003;Paris;;;;10;10
;;;CENTRE CULTUREL SUEDOIS;11 rue Payenne;75003;Paris;;;;15;10
;;;DIR GENERALE DE LA CREATION ARTISTIQUE;62 Rue Beaubourg;75003;Paris;;;;15;10
;;;ECOLE DUPERRE;11 Rue Dupetit Thouars;75003;Paris;;;;15;10
;;;LA GAIETE LYRIQUE;3 bis rue Papin;75003;Paris;;;;15;10
;;;LIBRAIRIE CENTRE WALLONIE-BRUXELLES;46 Rue Quincampoix;75003;Paris;;;;10;10
;;;LIBRAIRIE SCARAMOUCHE;161 Rue Saint Martin;75003;Paris;;;;10;10
;;;MAISON DE LA POESIE A PARIS;Passage Molière;75003;Paris;;;;15;10
;;;MAISON DES INITIATIVES ETUDIANTES;50 rue des tournelles;75003;Paris;;;;15;10
;;;CITE INTERNATIONALE DES ARTS;18 rue de l'hôtel de ville;75004;Paris;;;;15;10
;;;CLAIR DE RÊVE;35 Rue Saint-Louis-en-l'Ile;75004;Paris;;;;10;10
;;;JEUNE THÉÂTRE NATIONAL;13 Rue des Lions Saint Paul;75004;Paris;;;;15;10
;;;KIOSQUE JEUNES MARAIS;14 rue François Miron;75004;Paris;;;;15;10
;;;MAISON DE L'EUROPE;35-37 rue des Francs Bourgeois;75004;Paris;;;;15;10
;;;MICADANSES;16 rue Geoffroy-l'asnier;75004;Paris;;;;15;10
;;;ENS ULM;45 rue d’Ulm;75005;Paris;;;;15;10
;;;ENSAD;31 Rue d’Ulm;75005;Paris;;;;15;10
;;;ATELIER ALBERTS -ITM;9 rue des Arènes;75005;Paris;;;;15;10
;;;BIBLIOTHEQUE GASTON BATY;13 rue de Santeuil;75005;Paris;;;;15;10
;;;UNIVERSITE PARIS 1 - PANTHEON;12 Place du Panthéon;75005;Paris;;;;15;10
;;;UNIVERSITÉ PARIS 3;13 Rue De Santeuil;75005;Paris;;;;15;10
;;;CENTRE D'ANIMATION ARRAS;Passage d'Arras;75005;Paris;;;;15;10
;;;LA FOURMI AILEE;8 rue du Fouarre;75005;Paris;;;;10;10
;;;LIBRAIRIE PALIMPSESTE;16 rue de Santeuil;75005;Paris;;;;15;10
;;;MUSEE CURIE;11 rue Pierre et Marie Curie;75005;Paris;;;;15;10
;;;LA COMEDIE SAINT-MICHEL;95 bd Saint-Michel;75005;Paris;;;;15;10
;;;LA VIEILLE GRILLE;1 rue du Puits-dde-l'Ermite;75005;Paris;;;;15;10
;;;LA COMEDIE CONTRESCAPE;5 rue Blainville;75005;Paris;;;;15;10
;;;LE DESPERADO;23 rue des Ecoles;75005;Paris;;;;15;10
;;;CHAMPO;51 rue des écoles;75005;Paris;;;;15;10
;;;CINEMA LA CLEF;21 rue de la clef;75005;Paris;;;;10;10
;;;CINEMA EPEE DE BOIS;100 rue Mouffetard;75005;Paris;;;;10;10
;;;ESPACE SAINT-MICHEL;7 place Saint-michel;75005;Paris;;;;10;10
;;;FILMOTHEQUE DU QUARTIER LATIN;9 rue champollion;75005;Paris;;;;10;10
;;;GRAND ACTION;5 rue des écoles;75005;Paris;;;;15;10
;;;STUDIO DES CINEASTES LES URSULINES;10 rue des Ursulines;75005;Paris;;;;15;10
;;;STUDIO GALANDE;42 rue Galande;75005;Paris;;;;10;10
;;;BIBLIOTHEQUE POUR TOUS DES BERNARDINS;11 bis rue des Bernardins;75005;Paris;;;;15;10
;;;CONSERVATOIRE MUNICIPAL GABRIEL FAURE;12 rue Pontoise;75005;Paris;;;;15;10
;;;LA SCOLA CANTORUM;269 rue Saint Jacques;75005;Paris;;;;15;10
;;;LE CENTRE D'ANIMATION CENSIER;12 rue Censier;75005;Paris;;;;15;10
;;;CENTRE CULTUREL IRLANDAIS;5 rue des irlandais;75005;Paris;;;;15;10
;;;PARIS ATELIER;18 rue Poliveau;75005;Paris;;;;15;10
;;;SOCIETE HISTORIQUE;21 place du Panthéon;75005;Paris;;;;15;10
;;;MAISON DES JEUNES SAINT-MEDARD;3 rue du Gril;75005;Paris;;;;15;10
;;;CRDP DE L'ACADEMIE DE PARIS;37 Rue Jacob;75006;Paris;;;;15;10
;;;CROUS;12 rue de l'Abbaye;75006;Paris;;;;15;10
;;;EAP ECOLE D'ARTS PLASTIQUES;10 Bis Rue de Seine;75006;Paris;;;;15;10
;;;LIBRAIRIE LE COUPE PAPIER;19 Rue de l'Odéon;75006;Paris;;;;10;10
;;;MAISON DES CULTURES DU MONDE;101 boulevard Raspail;75006;Paris;;;;15;10
;;;MPAA;4 Rue Félibien;75006;Paris;;;;15;10
;;;SCIENCES PO;56 rue des Saints Pères;75006;Paris;;;;15;10
;;;CENTRE CULTUREL NÉERLANDAIS;121 Rue de Lille  ;75007;Paris;;;;15;10
;;;CENTRE D’ANIMATION ESPACE BEAUJON;208 Rue du Fbg St Honoré;75008;Paris;;;;15;10
;;;THÉÂTRE DU ROND POINT;2 Bis Av Franklin Roosevelt;75008;Paris;;;;15;10
;;;CONSERVATOIRE NATIONAL SUPERIEUR D'ART;2 Bis Rue du Conservatoire;75009;Paris;;;;15;10
;;;DRAC ILE DE FRANCE;45 - 47 rue Le Peletier;75009;Paris;;;;15;10
;;;ONDA;13 Bis Rue Henri Monnier;75009;Paris;;;;15;10
;;;SACD;9 Rue Ballu;75009;Paris;;;;10;10
;;;THEMAA;24 Rue Saint Lazare;75009;Paris;;;;15;10
;;;ARCADI - PÔLE RESSOURCES;51 rue du Fbg St Denis;75010;Paris;;;;15;10
;;;CENTRE D'ANIMATION ESPACE JEMMAPES;116 Quai de Jemmapes;75010;;;;;15;10
;;;CENTRE D'ANIMATION LA GRANGE AUX BELLE;55 Rue de la Grange aux Belles;75010;;;;;15;10
;;;CITE EUROPEENNE DES RECOLLETS;150-154 rue du Faubourg Saint-Martin;75010;;;;;15;10
;;;ECOLE JACQUES LECOQ;57 Rue du Fbg St Denis;75010;;;;;15;10
;;;ESPACE CHATEAU LANDON;31 Rue Château Landon;75010;;;;;15;10
;;;RELAIS CULTURE EUROPE;132 rue du Faubourg St Denis;75010;;;;;15;10
;;;THÉÂTRE DES BOUFFES DU NORD;31 bis Boulevard de la Chapelle;75010;;;;;15;10
;;;A LA FOLIE THEATRE;6 Rue de la Folie Mericourt;75011;;;;;15;10
;;;ACADEMIE GRANDES TERRES;5 Rue de Charonne;75011;;;;;15;10
