;;;;;;;;;DEPOT NOM : >;Les metaleux ont une ames
;;;;;;;;;DEPOT SURNOM : >;metaleux
;;;;;;;;;DEPOT TYPE : >;Flyer
;;;;;;;;;DEPOT QUANTITEE : >;2660
;;;;;;;;;DEPOT VOLUME : >;99.0
;;;;;;;;;DEPOT CARTONS : >;2
;;;;;;;;;DEPOT REMARQUE : >;ha oui
;;;;;;;;;DEPOT POID CARTONS : >;12
;;;;;;;;;DEPOT NB PAQUET : >;10
;;;;;;;;;DEPOT PRIX : >;0.5
;INFO KAF : |;REF : |;NOM  : |;ADRESSE : |;CP : |;VILLE : |;INFORMATION LIEU : |;DESTINATAIRE : |;LIEU PRIX : |;
;;;LES LABORATOIRES D'AUBERVILLIERS;41 rue Lécuyer;93300;Aubervilliers;;;;20
;;;THÉÂTRE DE LA COMMUNE - CDN;2, rue Édouard Poisson;93304;AUBERVILLIERS;;;;20
;;;LE SAMOVAR;165, avenue pasteur;93170;Bagnolet;;;;20
;;;L'ECHANGEUR;59 avenue du Général de Gaulle;93170;Bagnolet;;;;20
;;;CFPTS;92, avenue Gallieni;93170;BAGNOLET;;;;20
;;;CENTRE SOCIAL DE CLICHY LA GARENNE;12 rue dagobert;92110;clichy la garenne;;;;20
;;;LE CUBE;20, Cours Saint Vincent;92130;Issy-les-Moulineaux;;;;20
;;;CENTRE D'ART CONTEMPORAIN D'IVRY - LE CREDAC;25-29 rue Raspail;94200;IVRY SUR SEINE;;;;20
;;;THÉÂTRE DES QUARTIERS D'IVRY;69 avenue Danielle Casanova;94200;IVRY-SUR-SEINE;;;;20
;;;ECAM - THÉATRE DU KREMLIN-BICETRE;2 place Victor Hugo;94270;Le Kremlin-Bicêtre.;;;;20
;;;ESPACE KHIASMA;15 rue Chassagnolle;93260;Les Lilas;;;;20
;;;THÉATRE DU GARDE CHASSE LES LILAS;181 Rue de Paris;93260;LES LILAS;;;;20
;;;THÉATRE 71;3, pl du 11 Novembre;92240;MALAKOFF;;;;20
;;;ARARA;53, rue Michelet;93100;Montreuil;;;;20
;;;MAISON POPULAIRE DE MONTREUIL;9 bis rue Dombasle;93100;Montreuil;;;;20
;;;NOUVEAU THÉÂTRE DE MONTREUIL - CND;10 place Jean Jaures;93100;MONTREUIL;;;;20
;;;CCAS MONTREUIL;8 rue de Rosny;93104;MONTREUIL;;;;20
;;;LA DYNAMO - BANLIEUES BLEUES;9, rue Gabrielle Josserand;93500;PANTIN;;;;20
;;;LA NEF- MANUFACTURE D'UTOPIES;20 rue rouget de Lisle;93500;Pantin;;;;20
;;;CND - CENTRE NATIONAL DE LA DANSE;1 rue Victor Hugo;93507;PANTIN CEDEX;;;;20
;;;Musée en Herbe;21 rue Hérold;75001;Paris;;;;20
;;;Happy Families;5 rue du Cloître Saint Merri;75001;Paris;;;;20
;;;Maison du Geste det de l'image;42 Rue Saint-Denis;75001;Paris;;;;20
;;;La Pagode;57 bis, rue de Babylone;75007;Paris;;;;20
;;;Palais de la découverte;Avenue Franklin Delano Roosevelt;75008;Paris;;;;20
;;;Centre national de la photographie;1, rue Berryer;75008;Paris;;;;20
